train_test: ('prediction', 'train')
status_type_id: (0, 5)
sensor_0_avg: (0.0, 3650722.0)
sensor_0_max: (0.0, 429496736.0)
sensor_0_min: (0.0, 89.4)
sensor_0_std: (0.0, 39432280.0)
sensor_1_avg: (-10.7, 1.551)
sensor_1_max: (0.0, 263.04)
sensor_1_min: (-284.0, 0.0)
sensor_1_std: (0.0, 21.337)
power_2_avg: (-0.3335599999999999, 1.08964)
power_2_max: (-0.03136, 1.24192)
power_2_min: (-1.7160400000000002, 1.04554)
power_2_std: (0.0, 0.5646399999999999)
sensor_3_avg: (0.0, 88.925)
sensor_3_max: (0.0, 187.26)
sensor_3_min: (0.0, 87.353)
sensor_3_std: (0.0, 78.238)
sensor_4_avg: (0.0, 112.79)
sensor_4_max: (0.0, 191.41)
sensor_4_min: (0.0, 106.81)
sensor_4_std: (0.0, 72.96)
power_5_avg: (-0.043382, 1.07138)
power_5_max: (-0.0432, 1.1818)
power_5_min: (-0.8208, 1.032)
power_5_std: (0.0, 0.5253)
power_6_avg: (-0.043382, 1.07138)
power_6_max: (-0.0432, 1.1818)
power_6_min: (-0.8208, 1.032)
power_6_std: (0.0, 0.5253)
sensor_7_avg: (-44.0, 850.0)
sensor_7_max: (-44.0, 850.0)
sensor_7_min: (-1013.2, 850.0)
sensor_7_std: (0.0, 401.33)
sensor_8_avg: (-6.529, 187.09)
sensor_8_max: (0.0, 327.67)
sensor_8_min: (-327.68, 185.42)
sensor_8_std: (0.0, 101.5)
sensor_9_avg: (-1.2, 1.17)
sensor_9_max: (-1.2, 5.0)
sensor_9_min: (-1.2, 1.1)
sensor_9_std: (0.0, 0.9579)
sensor_10_avg: (-1.2, 1.1)
sensor_10_max: (-1.2, 5.0)
sensor_10_min: (-1.2, 1.1)
sensor_10_std: (0.0, 0.8707)
sensor_11_avg: (-1.2, 0.9253)
sensor_11_max: (-1.2, 5.0)
sensor_11_min: (-1.2, 0.3)
sensor_11_std: (0.0, 0.7964)
sensor_12_avg: (-49.9, 2.402)
sensor_12_max: (-49.9, 200.0)
sensor_12_min: (-49.9, 1.5)
sensor_12_std: (0.0, 25.537)
sensor_13_avg: (-49.9, 3.149)
sensor_13_max: (-49.9, 200.0)
sensor_13_min: (-49.9, 0.8)
sensor_13_std: (0.0, 30.514)
sensor_14_avg: (-49.9, 1.98)
sensor_14_max: (-49.9, 200.0)
sensor_14_min: (-49.9, 1.7)
sensor_14_std: (0.0, 25.649)
sensor_15_avg: (-130.22, 87.936)
sensor_15_max: (-127.5, 843.0)
sensor_15_min: (-130.9, 50.0)
sensor_15_std: (0.0, 187.66)
sensor_16_avg: (-8.0, 3.427)
sensor_16_max: (-8.0, 3.427)
sensor_16_min: (-9.629, 3.427)
